,asin,title,description,category,topic_name,bubble_color,bubble_size,clean_link,topic_rank
47,B0002DICW8,COVER W/D-RING-H.O.T. MAGNUM,Marineland COVER W&#047;D RING HOTReplacement <br>Parts for Marineland Power Filters,other,other_6,0.3612,1,,49
130,B0002ARF4M,"LAFEBER'S Premium Daily Diet Pellets Pet Bird <br>Food, Made with Non-GMO and Human-Grade <br>Ingredients, for Cockatiels, 25 lb","Dr. Lafeber Sr. created the very first pet bird <br>pellet. As a practicing veterinarian in the 1960's <br>Dr Ted Lafeber Sr. was treating pet birds and soon <br>realized that most pet birds were suffering from <br>malnutrition. Birds can not survive on millet, <br>canary seed and sunflower seeds alone. In 1975, he <br>...",bird,bird_5,0.5187148514851486,101,1.0,49
130,B0002DI2MI,TetraFin Goldfish Crisps Clear Water Advanced <br>Formula,"TetraFin Goldfish Crisps contain essential <br>nutrition for your goldfish while stimulating <br>richer color. These crisps leave up to 35 percent <br>less waste behind than competing flakes for more <br>usable food, clearer water and healthy fish. The <br>uniform size of each crisp provides consistency in <br>feeding. ...",fish,fish_1,0.4920987096774191,155,1.0,49
2948,B003O857LW,Tuffy Mega Ring Dog Toy,,dog,dog_1,0.6411,1,,49
56,B0002ARJ7K,Polly Perfect Portable Stand Large,"Polly Perfect Portable Stand Perfect for use <br>around the house or Office Includes 10oz Quick <br>Lock Crock 9"" High, 10"" wide with 1.5"" dia Congo <br>Greys, Amazons and Eclectus",bird,bird_2,0.28837,10,1.0,49
74,B0002ARQ14,Marshall Pet Products Plush Bell Toy,Marshall polar toys are made of soft fleece with a <br>bell in the center providing your ferret with <br>hours of playtime fun.,rabbits and rodents,rabbits and rodents_2,0.5688934782608694,92,1.0,49
38,B000084EYZ,Precise Plus Feline Adult Formula,"Precise Plus Feline Adult Formula provides <br>complete and balanced nutrition for all life <br>stages. A wonderful blend of high quality <br>proteins, botanical and herbal ingredients, and <br>important beneficial supplements that are sure to <br>keep your pet healthy and happy.",cat,cat_2,0.9143,1,1.0,49
62,B0002AS5KK,"Kaytee Natural Tree Trunk Hideout, Small","The Natural tree trunk large animal hideout is <br>made in the shape of old tree stump and provides a <br>safe and secure resting spot for rabbits, guinea <br>pigs and chinchillas. Made from a wood and Plastic <br>composite, this hideout is even safe for your <br>critter to chew. The large size is ideal for <br>rabbits, ...",rabbits and rodents,rabbits and rodents_6,0.5628479853479852,273,,49
2998,B001I44N6Y,Planet Dog Orbee-Tuff Diamond Plate Orbee Ball,"Everyone knows diamond plate is a dog's best- <br>friend. Made with our award-winning Orbee-Tuff <br>material, this toy is as tough as the rock it's <br>named for (well, almost)! The Diamond Plate Ball <br>is an absolute favorite among our ""no-nonsense"" <br>customers. With this ball - it's all about the <br>chew.",dog,dog_4,0.6603333333333333,6,,49
34,B0002APJL8,Seachem Flourish Trace Elements 250ml,"Flourish Tracesupplies a broad range of trace <br>elements demonstrated to be necessary for proper <br>plant health and growth. Trace elements are <br>normally depleted by utilization, oxidation and <br>precipitation. The latter two processes occur more <br>rapidly than with other micronutrients. This makes <br>it ...",rabbits and rodents,rabbits and rodents_4,0.1686916666666666,12,1.0,49
7389,B00OH7N48C,Bamboobies 8 Pack in Assorted Colors 6 Regular + 2 <br>Overnight Pads,,other,other_0,0.9516,1,,49
918,B000A3U23W,Roudybush Daily Maintenance Nibbles Bird Food,"Daily maintenance is a highly palatable diet for <br>the average bird and supplies nutrients needed to <br>allow birds to look their best and to live long, <br>healthy lives. Daily Maintenance has roughly 7 fat <br>and 21 of its calories are derived from fat.",bird,bird_0,0.9258,1,0.0,49
70,B00025Z6ES,Hikari Cichlid Staple Baby 8.8oz,"Hikari Cichlid Staple&#153; is an economical, <br>daily diet for cichlids as well as other large <br>tropical fish&#046; It contains all the basic <br>nutrition your fish needs to stay healthy&#046; <br>High in stabilized vitamin C, Hikari Cichlid <br>Staple&#153; promotes resistance to stress and <br>immunity to ...",fish,fish_2,0.8111,3,1.0,49
11412,B008Z1M5PY,Tootsie Roll Dog Costume,This costume includes one tootsie roll tunic. This <br>is an officially licensed Tootsie Roll product.,dog,dog_3,0.0,1,1.0,49
932,B000VCAFLG,"Whiskas Choice Cuts, Chef's Favorites Variety <br>Pack, 12 ct, 3 oz","As soon as he sees this recipe's delicious, meaty <br>chunks marinated in rich, succulent sauces, he'll <br>go crazy for it.,Statements regarding dietary <br>supplements have not been evaluated by the FDA and <br>are not intended to diagnose, treat, cure, or <br>prevent any disease or health condition.",cat,cat_6,0.3612,1,1.0,49
8285,B00H7JD6EE,Star Trek Starfleet Blue Uniform Dog Collar,"Share your love of Star Trek with your canine <br>friend with this officially licensed Starfleet <br>Uniform Dog Collar! Dog collar is made with custom <br>two-tone woven nylon webbing with reinforced <br>stitching. Collar comes complete with a rubber <br>Delta charm, a Star Trek logo patch on Uniform <br>Colors and a ...",dog,dog_1,0.6766357142857143,14,,50
2192,B000F2TPDG,"Dogswell Vitality Dog Treats, Beef Liver, 6-Ounce <br>Orange Pouches (Pack Of 6)","Helps maintain eyes, skin and coat. Premium dog <br>treats with vitamins. Made with all natural beef <br>liver. With vitamin E, an antioxidant. Benefits: <br>great source of vitamins; rich in protein; <br>digestible; all natural beef liver. True jerky <br>treats with added nutrients: no flour; no wheat; <br>no corn; no ...",dog,dog_3,0.9425,3,,50
14,B000084EHV,Wysong Uretic Feline Diet,"A food formulated for cats prone to urolithiasis, <br>but also an excellent maintenance diet. Contains <br>no excess minerals and helps maintain an acidic <br>urine.",cat,cat_2,0.3406333333333333,6,1.0,50
534,B0002HG6TK,Brand New 3 Level Hamster Rodent Gerbil Rat Mouse <br>Cage-H820 Blue Base,3 Level Hamster Rodent Gerbil Rat Mouse Cage,rabbits and rodents,rabbits and rodents_3,0.60468,5,1.0,50
99,B0002DHR2Y,S&amp;G FERRET HARNESS &amp; LEAD SET,"Designed to comfortably fit & safely secure all <br>ferrets. Sheppard & Greene Harness & Bell plus 72"" <br>lead attaches easily to secure your ferret. The <br>harnesses is an ""H"" style that attaches with <br>velcro. The front legs of the ""H"" go around the <br>ferrets neck and the back leg of the ""H"" goes <br>around the ...",rabbits and rodents,rabbits and rodents_2,0.5678,3,1.0,50
227,B0002DH292,"Living World Large Seed Cup for Parrots, Assorted <br>Colors","The Living World Seed Cup is a great way to hold <br>your bird's seeds within the cage. It is equipped <br>with attachments on the back so the cup can easily <br>attach to wire cages. The cup is great to place <br>next to branches, so your bird is comfortably <br>rested while eating his or her seeds. The Living <br>World ...",bird,bird_6,0.23535,8,1.0,50
83,B00067YHV0,12 pack Pet Blinker Replacement Batteries,12 pack Pet Blinker Replacement Batteries,other,other_3,0.2202,2,,50
96,B0002DJH68,"All Glass Aquarium AAG54214 Pine Canopy, 48 by <br>18-Inch (CANOPY ONLY)",These quality pine stands and canopies are <br>constructed entirely of solid wood. Each stand and <br>Canopy is stained and finished with a <br>waterproofing sealer that will protect them from <br>splashes and other water damage Canopies are <br>available with Full length doors that allow easy <br>access to the aquarium ...,fish,fish_4,0.07178,15,1.0,50
144,B0002DGIL0,"MatrixCarbon, 4 L / 1 gal.","MatrixCarbon is a truly unique activated carbon. <br>It is formed as a spherical bead for optimum <br>hydrodynamics, and will not pack. It permits <br>maximum water flow and contact with its high <br>density of macroporous binding sites. MatrixCarbon <br>has a very low ash content as indicated by its <br>minimal impact on ...",fish,fish_3,0.5680000000000001,6,1.0,50
5114,B00HXSPPNY,Castor &amp; Pollux Dog Food Can Duck Vension,"Castor & Pollux Ultra Duck/Ven Dog (12x13.2OZ <br>),Statements regarding dietary supplements have <br>not been evaluated by the FDA and are not intended <br>to diagnose, treat, cure, or prevent any disease <br>or health condition.",dog,dog_2,-0.0383,2,1.0,50
124,B0009YYUQW,SeaClear System II Acrylic Aquarium,"When quality determines the choice, the choice is <br>clear: SeaClear. No one can match the quality of <br>SeaClear's virtually invisible seams, which are <br>backed up by the industry's most extensive <br>warranty. For the discerning aquarist for whom <br>nothing but the best will do, SeaClear can make <br>even the most ...",rabbits and rodents,rabbits and rodents_6,0.8115,2,,50
953,B000QSXM9M,DreamWalker &quot;No Pull&quot; Harness That <br>Really Works,,dog,dog_6,0.8445666666666667,6,1.0,50
169,B00061TWMA,Dog Flooring 2ft x 4ft Sections Set of 4,"These interlocking floor grids make the perfect <br>dog flooring for kennels, cages and more. The <br>polypropylene pieces create a smooth, even surface <br>that won't harbor bacteria or absorb liquids. <br>Withstands power washing and disinfectants, making <br>clean-up quick and easy. The 2' x 4' sheets can be <br>cut to ...",rabbits and rodents,rabbits and rodents_4,0.40081,10,1.0,50
13,B000256DMM,Danner 12205 PM 100 and PM 200 Foam Replacement <br>Pads,Danner 12205 pm 100 and pm 200 foam replacement <br>pads,other,other_1,0.20626,5,,50
1042,B000FZXCVE,Durango Bully Boys 9-Inch Beef Chews (Pack Of 50),All natural beef chew. No preservatives. Fully <br>digestible. Promotes dental health. Only one <br>ingredient.,dog,dog_4,-0.9299,1,1.0,50
8296,B00XWEDEZ4,UP-Collection Dots That Glow in The Dark Pajama <br>for Pets,Super cute pajama covered with colorful dots that <br>glow in the dark. Your pet will not get lost in <br>the dark. Laughs are an additional perk included <br>with the acquisition of this adorable pajama.,other,other_0,0.8847,1,,50
1223,B000R4JIWU,"Tidy Cats Scoop Cat Box Litter, Performance <br>Control, for Multiple Cats, 20 lb","The hard clumping litter for multiple cats. Long <br>lasting odor control with time release deodorizing <br>system. Tidy Cats Scoop is High Performance <br>Scooping Cat Litter specially formulated for <br>households with more than one cat. All formulas of <br>Tidy Cats Scoop,Product is filled by weight; some <br>settling ...",cat,cat_4,0.4498333333333333,18,1.0,50
50,B0002DIE26,Elite Diaphragm for Aquarium Air Pump,"This diaphragm is used for Elite aquarium air pump <br>models A800, A801, A802. Measures 2/3-inch length <br>by 4-inch width by 4-inch height.,,",other,other_6,0.0,1,,50
191,B0002DIT8K,Sleeping Gnome Kitty Cradle With Ball - 19134-Kc - <br>Bci,",Bed dimensions 15 x 14 x 13.,Size15 X 14 X <br>13,Color ASSORTED,BCI - 020279",cat,cat_6,0.4767,2,,50
215,B0002DHY4K,"Tetra Whisper Power Filter for Aquariums, 3 <br>Filters in 1","For 50 years, fishkeeping enthusiasts have looked <br>to the Tetra name for products and solutions that <br>add ease and beauty to their home. Whether you're <br>an experienced hobbyist or just starting out, <br>Tetra has everything you need-from a large variety <br>of quality fish food and innovative equipment to <br>...",fish,fish_2,0.3513502753737219,1271,,50
73,B0002ML19K,Merrick Thanksgiving Day Dinner,"Merrick Thanksgiving Day Dinner Canned Cat 24/5 <br>oz,,",cat,cat_5,-0.143525,4,1.0,50
3958,B0051UGS0U,POSH PETS FELIX Double Large Indoor Rabbit Guinea <br>Pig Hutch Cage Run,"This is the fantastic double decker 80cm Felix <br>indoor pet condo residence, complete with internal <br>ladder, hay feeder and bottle, the colour of the <br>trays may vary from time to time. What you do <br>want, is one of these huge Felix indoor pet condo <br>residences; your little critters will be in orbit <br>in ...",rabbits and rodents,rabbits and rodents_0,0.8755,1,1.0,50
50,B0002A5W7Y,"Neutral Regulator, 50 g / 1.8 oz","Neutral Regulator adjusts pH to neutral (pH 7.0) <br>from either a low or high pH and maintains it <br>there. It softens water by precipitating calcium <br>and magnesium while removing any chlorine, <br>chloramine, or ammonia. The use of Neutral <br>Regulator makes other conditioning unnecessary. To <br>lower pH below 7.0 ...",fish,fish_1,0.1393857142857142,7,1.0,50
3320,B007R5KQVY,Caribsea PhosBuster Pro for Aquarium Treatment,"A unique patent pending formula that removes <br>dissolved phosphates in minutes instead of days. <br>Safe for all reef tanks, saltwater and freshwater <br>aquariums of all sorts. Each 8 oz. bottle removes <br>at least 1.5 ppm in up to 250 gallons of water! No <br>more fiddling with filter bags or special <br>reactors; ...",fish,fish_0,0.0,1,,50
1775,B001C4RCIG,Dogswell Vitality Veggie Life Chicken &amp; Apple <br>15 Oz,"Treat your dog to 100% all-natural chicken breast <br>wrapped around nutritious and delicious Fuji <br>apple. Treats are fortified with Flaxseed and <br>Vitamins A & E for healthy eyes, skin and coat. <br>Features: Easy to Digest. Low in Fat & Sodium. <br>Great Source of Vitamins & Minerals. All-Natural, <br>Cage-Free ...",dog,dog_5,0.5265150000000001,20,1.0,50
5146,B00I8MH0BE,2 Piece Lizzy Bird Cages Set,"78522-2 Features: -Set includes 2 birdcages. <br>-Material: 100% Iron. Product Type: -Decorative <br>bird cage. Style: -Contemporary. Theme: -Animal. <br>Subject: -Bird. Primary Material: -Metal. Age <br>Group: -Adult. Seasonal Theme: -Yes. Season: <br>-Spring. Dimensions: -Small dimensions: 45"" H x <br>29"" W x 29"" D. ...",bird,bird_0,-0.8323,1,,50
522,B00176EMXC,Nature's Earth Feline Pine Scoop Cat Litter,"Feline Pine Scoop was designed with both you and <br>your feline companions in mind. For you, we offer <br>a litter that clumps safely and destroys odors. <br>How do we accomplish such a task? Our product is <br>made from pure southern yellow pine that naturally <br>neutralizes litter box odor, instead of trying to <br>...",cat,cat_0,0.4025916666666667,12,1.0,50
29,B0002ARMVS,ZuPreem Primate Diet Dry - 20 lb,Professional bird breeders and pet owners for <br>years have fed ZuPreem Dry Primate biscuits to <br>parrots as a great tasting and nutritious treat. <br>Feed your bird what the professionals feed.,bird,bird_3,0.6209807692307693,52,1.0,50
66,B0006606B6,Nilotron Aerosol Refill - Mountain Rain Scent,Refills for the Nilotron Auto Aerosol Dispenser.,other,other_4,0.5938,3,,50
58,B00025K1HK,"Hikari Bio-Pure Freeze Dried Brine Shrimp for <br>Pets, 0.42-Ounce","An Excellent Daily Diet Or Treat for All Types Of <br>Freshwater and Marine Fishes, Invertebrates and <br>Other Marine Species. Great For Turtles and Frogs <br>Too. Bio-Pure FD is the worlds cleanest freeze- <br>dried fish food available today. Pharmaceutical <br>freeze-drying techniques allow us to give you a <br>product ...",fish,fish_5,0.3378759999999998,150,1.0,50
118,B000G201FG,"Holistic Select Natural Grain Free Dry Cat Food <br>Adult Health, Duck","Holistic Select dry cat food recipes are <br>formulated with the digestive support &amp; <br>balanced nutrition your pet needs to live their <br>best life. Grain-free, with optimal levels of <br>protein plus prebiotics &amp; probiotics, live <br>yogurt cultures, digestive enzymes, and natural <br>fiber these recipes ...",cat,cat_1,0.5350698744769872,239,1.0,50
62,B0002AQ35O,Prevue Pet Products Pacific Perch Beach Branch <br>Medium 1011,"Prevue Beach branch Perch helps reduces stress on <br>the leg and foot muscles. This Perch naturally <br>trims the nails and beak of your bird.,,",bird,bird_1,0.53045,10,,50
33,B00025YVS0,Kent Marine ChromaPlex,"ChromaPlex is a unique blend of aqua-cultured, <br>naturally-occurring phytoplankton that contains <br>essential fatty and amino acids, fiber, and high <br>levels of carotenoids. Carotenoids have been shown <br>to increase coloration intensity of blue, green, <br>orange, yellow, and red tissue pigments in ...",rabbits and rodents,rabbits and rodents_5,0.4731571428571429,7,,50
1756,B00DFY1SZE,"Lapwater Aquatics Cave pour aquarium/vivarium <br>Demi-b&ucirc;che 25,5&nbsp;cm",Log Tree Bark Reptile Log Hide Aquarium Hollow <br>Half Log Great centre piece decoration Approx <br>Size: L25.5 x W12 x H8.5cm Safe for all <br>Aquarium/Vivarium Use,amphibians and reptiles,amphibians and reptiles_0,0.8225,1,,50
14,B0002567AU,Maxi-Jet 900 Powerhead / MP 900,Maxi-JetPH pump and power head is ideal for <br>powering undergravel filters or creating internal <br>water movement from its fully rotational output. <br>The Maxi-JetPH incorporates a venturi aeration <br>device to provide optimal aeration and gas <br>exchange in the aquarium. A silencer keeps the <br>venturi aeration ...,rabbits and rodents,rabbits and rodents_1,0.435790909090909,11,,50
7572,B00J3LIHAM,Kess InHouse Solid Black Fleece Dog Bed,"Pets deserve to be as comfortable as their humans! <br>These dog beds not only give your pet the utmost <br>comfort with their fleece cozy top but they match <br>your house and decor! Kess Inhouse gives your pet <br>some style by adding vivaciously artistic work <br>onto their favorite place to lay, their bed! <br>What's ...",dog,dog_0,0.9325,1,,50
172,B0002DK3E8,"PetSafe Staywell 4-Way Locking Cat Flap with <br>Tunnel, White",Cat Flap White 4Way with tunnel,cat,cat_3,0.6369,1,,50
1004,B0029SY96C,"North American 87014 Cobalt Iodized Salt Block, 50 <br>Lb","Which is essential for appetite stimulation & <br>normal protein. Carbohydrate & mineral metabolism. <br>Also prevents deficiencies that can lead to low <br>conception rates. Abortions & weak calves. For all <br>classes of beef & dairy cattle, sheeps, pigs & <br>horses, salt, cobalt carbonate, calcium locate, <br>...",farm animals,farm animals_0,0.35255,6,,50
2234,B0020MMTRI,"Earthbath All Natural Deodorizing Spritz, 8-Ounce","Does your dog need a soothing natural aid for <br>relief of hot spots, itching scratching and skin <br>irritation? Our Tea Tree Oil Spritz is the simple <br>solution, blended with soothing melaleuca oil, <br>nature's finest hot spot ointment. earthbath's Hot <br>Spot and Itch Relief Spritz additionally <br>remoisturizes ...",dog,dog_5,0.9171,2,,51
87,B0002A5W7E,"Tanganyika Buffer, 250 g / 8.8 oz","Sachem's Tanganyika Buffer is a blend of carbonate <br>salts designed to enhance the natural environment <br>of cichlids by increasing hardness, buffer <br>capacity, and ph. It is formulated to maintain a <br>pH of 9.0-9.4. For optimum replication of the <br>Tanganyika environment, use with Cichlid Lake Salt <br>and ...",fish,fish_5,0.4872999999999999,13,,51
84,B0002AQN54,"Kaytee Supreme Bird Food for Canaries, 2-lb bag","Kaytee Supreme Canary food is a wholesome, high- <br>quality mix that contains all of the natural <br>protein, fiber, oils and nutrients of whole <br>grains. Fortified to ensure a balance blend, <br>Supreme utilizes natural seeds, grains and pellets <br>to provide your bird with a simple yet healthy <br>diet. Kaytee ...",bird,bird_1,0.58072,5,1.0,51
32,B0002DIDIQ,TUBE W/STR-PENG 99,Marineland INTAKE TUBE W/STR PENG 99Replacement <br>Parts for Marineland Power Filters,other,other_1,0.0,1,,51
8287,B00H7JD4ZK,Star Trek Starfleet Blue Uniform Dog Collar,"Share your love of Star Trek with your canine <br>friend with this officially licensed Starfleet <br>Uniform Dog Collar! Dog collar is made with custom <br>two-tone woven nylon webbing with reinforced <br>stitching. Collar comes complete with a rubber <br>Delta charm, a Star Trek logo patch on Uniform <br>Colors and a ...",dog,dog_1,0.565425,8,1.0,51
468,B000YSJU2W,Lotus Cat Tree - Cat Condo Climber (Mahogany <br>Finish/Beige Carpet),,cat,cat_2,0.6373857142857143,7,,51
161,B0002Z7UBU,Seachem Fresh Trace 250ml,"Fresh Trace supplies a broad range of trace <br>elements demonstrated to be necessary for proper <br>fish health and growth. Unlike terrestrial <br>animals, fish obtain nutrients from both their <br>food and environment. Trace elements are normally <br>depleted by utilization, oxidation and <br>precipitation, thus it is ...",fish,fish_1,0.4536,4,,51
1029,B000VCKVQ0,"Iams Puppy Biscuits, 24 oz","You can reward your puppy with the outstanding <br>taste and nutrition of iams puppy formula <br>Biscuits. The crunchy texture of our Biscuits <br>helps with teething and to control tartar buildup. <br>They are made with real chicken, giving your puppy <br>the taste he enjoys, which makes iams puppy <br>formula Biscuits a ...",dog,dog_6,0.4495166666666666,54,1.0,51
72,B0002YFRJI,Lumiscope Digital Thermometer with Plastic Storage <br>Case,"Lumiscope Jumbo Display Digital Thermometer <br>(L2013) for Oral, Rectal and Under Arm Use. With <br>Large Digital Display and Last Memory Recall. <br>Beeps When Ready. Features: For Oral, Rectal, or <br>Under Arm Use. Large Digital Display. Last Memory <br>Recall. Beeps when ready.",other,other_6,0.4404,1,1.0,51
5414,B00844J89S,"Chicco Keyfit 30 Infant Car Seat with Boot and <br>Base, Endless (Discontinued by Manufacturer)","The seat interior is lined with ""EPS"" energy <br>absorbing foam for improved impact protection. The <br>large seat provides ample room for infants up to <br>30 pounds. Newborn infant insert provides improved <br>fit and comfort for smaller babies from 4-11 <br>pounds. Thickly cushioned seatpad made with the <br>finest ...",rabbits and rodents,rabbits and rodents_0,0.8786230769230771,13,1.0,51
990,B00282ZP4O,"Dandelion Organic Toy Squeaker, Duck","Back to basics styles, old fashioned fun. Big kid <br>games are small sized just for baby. Easy to grasp <br>toys are soft and pudgy, featuring touch and <br>teethe tags. Made from organic cotton fabric, as <br>well as corn fiber filling. Dandelion only uses <br>low impact dyes in their fabrics. Toys are machine <br>...",farm animals,farm animals_0,0.6608222222222222,27,0.0,51
21,B00025YU4K,"Super Bird Creations 4-1/2 by 1-3/4-Inch Rattle <br>Bird Foot Toy, Medium to Large",Simple and fun this all hardwood rattle foot toy <br>with 1-3/4-inch wooden rings will entertain your <br>bird.,bird,bird_2,0.5456444444444444,18,1.0,51
11196,B00GS6L75M,UltraGuard Plus Flea And Tick Kitten And Cat <br>Collar,,cat,cat_0,0.14554,5,1.0,51
45,B00025689U,Zoo Med T-8 Flora Sun Max Plant Growth Fluorescent <br>Bulb,"This high intensity lamp with peak emissions in <br>the blue and red regions serves to maximize the <br>photo biological processes in plants. The emission <br>spectrum closely resembles the absorption curve of <br>chlorophyll-A, promoting maximum photosynthesis, <br>ideal for planted aquariums, or terrariums. Also <br>...",fish,fish_2,0.5021676470588236,34,1.0,51
528,B0002H3RQA,Vo-Toys Floppy Fleece Grey Mouse 15in Dog Toy,"Vo-Toys Floppy Fleece Grey Mouse 15in Dog Toy <br>These soft fleece toy makes it easy for your pet <br>to toss, catch, or shake. Will amuse and delight <br>your pet. Offers plenty of fun time.",rabbits and rodents,rabbits and rodents_3,-0.0635999999999999,2,,51
31,B0002A5VJI,Seachem Hypersorb 250ml,"HyperSorb is a synthetic adsorbent that <br>outperforms all other blended synthetic media and <br>carbons. It has exceptional organic removal <br>capacity: it removes organic waste, toxic vapors <br>and other pollutants. In freshwater it will help <br>stabilize the ionic balance and will help control <br>ammonia, nitrite, ...",rabbits and rodents,rabbits and rodents_4,-0.0207249999999999,4,1.0,51
1189,B000XDGFO4,"Milk-Bone Soft Filet Mingon Dog Treats, 5.6 oz",",When you give Milk-Bone Beef &amp; Filet Mignon <br>Recipe dog snacks, you're giving your dog the <br>mouth-watering taste of juicy real filet mignon <br>and over 12 vitamins and minerals.,,,,Statements <br>regarding dietary supplements have not been <br>evaluated by the FDA and are not intended to <br>diagnose, treat, ...",dog,dog_2,0.1021749999999999,4,1.0,51
1044,B000YK9X72,World's Best Cat Litter Original Formula,"34 lbs. The litter that works--naturally. Clumping <br>litter made from all-natural, whole kernel corn <br>traps and absorbs urine and ammonia for <br>exceptional odor control. Flushable and septic <br>safe. Low tracking and soft-textured. Veterinarian <br>recommended.",cat,cat_6,0.7073599999999999,10,1.0,51
76,B0002DH47W,Tom's Aquatics Stellar Air Pump,"Offering reliable and heavy duty operation, the <br>TOM Stellar Air Pump S-10 from KollerCraft is <br>ideal for aquariums sized from 10 to 20 gallons. <br>Designed for smooth and quite operation, the S-10 <br>maintains high oxygen levels while providing water <br>movement to keep fish healthy. It features strong, <br>long ...",rabbits and rodents,rabbits and rodents_6,0.2945,15,1.0,51
24,B00025K0LC,OSI Marine Lab Freshwater Flake Fish Food 7.06oz,Freshwater tanks tend to have a wide variety of <br>fish species living together. A broad spectrum of <br>vitamins and nutrients is necessary to meet the <br>needs of every fish in the tank. O.S.I Freshwater <br>Flakes were developed as a basic diet with a <br>balance of plant and animal proteins to meet the <br>needs of ...,fish,fish_4,0.3583666666666666,3,1.0,51
14,9828377403,Birds LOVE Fiesta Bird Toy,A simple but fun wooden and cardboard toy with no <br>extra bells or whistles. Parrots are naturally <br>driven to gnaw on wood to keep their beaks trimmed <br>and to keep boredom at bay. This toy provides a <br>fun way for your parrot to do just that. 16 <br>colorful wooden slats and 16 pieces of cardboard <br>hang on ...,bird,bird_5,0.4609033333333334,60,0.0,51
3572,B006FM1DZ8,Double Tiki Treehouse Bird Cage - 64&rdquo; X <br>21&rdquo; X 65&rdquo; - Several Colors Available!,"Double Tiki Treehouse Bird Cage features: This <br>durable, non-toxic powder coated flight cage has <br>an outside dimension of 64 x 21 x 65 and inside <br>dimension of 64 x 21 x 27. The interior height is <br>27. Removable divider gives you the flexibility to <br>have 2 smaller bird cages or 1 big bird cage. <br>Storage ...",bird,bird_0,0.79915,2,1.0,51
110,B0002AQLS8,"Glo Aqua-Glo T8 Fluorescent Aquarium Bulb, <br>30-Watt, 36-Inch",The Aqua-GLO T8 is a linear fluorescent 30-watt <br>and 900 lumen aquarium bulb. This normal output <br>bulb with a color temperature of 18000K fits all <br>suitable standard and electronic ballasts. This <br>bulb generates an ideal fish color enhancing <br>spectrum while also delivering a strong <br>photosynthetic range ...,fish,fish_3,0.5421821428571428,28,,51
6398,B00IRP7THC,Ladies Demin shirt dress long sleeves Skater <br>Dresses DR0760,"Asian Size is 1-2 size smaller than European size, <br>please check the measurement chart before <br>purchasing, many Dank.Size:S:Length:80cm;Shoulder: <br>37cm;Bust:88cm;Sleeve Length;55cm;Waist;66cm",other,other_0,0.2294,2,,51
35,B0002ARHJK,Kent Marine Tech CB,"Each of Tech CB Part A and Part B is half of a <br>ionically balanced, complete calcium and <br>alkalinity control system for all marine <br>aquariums. When used simultaneously in equal <br>amounts the system will raise both the calcium and <br>buffer level in the aquarium, and is phosphate, <br>nitrate and gluconate ...",rabbits and rodents,rabbits and rodents_1,0.31245,2,1.0,51
69,B0002Z7TPM,Fluval Complete Adjustable Rim Connector Kit for <br>Canister Filter,This complete adjustable rim connector replacement <br>kit . It is used for Fluval 403 canister filter. <br>Its connects the intake and output to the strainer <br>and spraybar of filter. Measures 4-inch length by <br>3-inch width by 6-inch height.,other,other_3,0.41,2,1.0,51
2855,B017S9986C,JANNIK Barking Control Collar for Dogs - Humane <br>Stop Barking Training Collar - Vibration and Sound <br>- no Shock Collar - Safe for Dogs and Human with <br>Water Resistance.,,amphibians and reptiles,amphibians and reptiles_0,0.6658222222222222,27,0.0,51
1,1906492514,Magnet &amp; Steel USA Inc. Beware of The <br>Rottweiler Plastic Sign,"Plastic Pet Sign High Resolution graphics printed <br>on thick plastic for long lasting signage multiple <br>breeds and images available.,,",other,other_4,0.2950199999999999,5,,51
177,B00062F6OM,"Innotek Extra Receiver, SD-3000/SD-3100 SYSTEMS","Battery replaceable. Water resistant,,",rabbits and rodents,rabbits and rodents_5,0.236475,20,1.0,51
9175,B019YHT98S,"BUMBLE BEE Chub Mackerel, Canned Fish, Canned <br>Mackerel, High Protein Food, Gluten Free Food, <br>Canned Food, Bulk Canned Fish, 15 Ounce Cans (Pack <br>of 12)",",Chub Mackerel is a fish similar in size to a <br>large sardine with a very unique flavor profile. <br>Packed 3-4 into each can, BUMBLE BEE Chub Mackerel <br>makes a great ingredient for hot dishes, including <br>casseroles. At BUMBLE BEE Seafoods, practicing <br>sustainability is an organizational imperative. As <br>a ...",fish,fish_0,0.3529555555555555,9,,51
1043,B000FZXCV4,"Durango Bully Boys, 6 Inch, Original, 50-Count Box","All natural beef chew. No preservatives. Fully <br>digestible. Promotes dental health. Only one <br>ingredient.,,",dog,dog_4,0.9654,2,,51
45205,B019LJIZ52,I'm The Big Sister - Dog Shirt,"I'm the Big Sister - Dog Tank for big and little <br>dogs. 6' X 5"" design with silver, pink, blue, & <br>green nailheads.",dog,dog_0,0.6253500000000001,2,1.0,51
4138,B00150G4Y0,"Dogswell Breathies Chicken Breast Mini'S, 6-Ounce <br>Bags (Pack Of 6)","BREATHIES Chicken Breast Minis are made with 100% <br>all-natural, cage-free chicken breast and <br>fortified with mint and parsley for fresh breath <br>and healthy teeth. These bite-size pieces are <br>perfect for puppies or small dogs, and are perfect <br>for training. They are rich in protein, digestible <br>and low in ...",dog,dog_3,0.5362000000000001,9,1.0,51
115,B000FPM6AW,"Excel Kittymalt Hairball Remedy, Malt Flavor, <br>2-1/2-Ounce (M705)","8in1 Kittymalt Hairball Remedy - Malt Flavor <br>(Tube/Box), 2.5-Ounce,,",cat,cat_1,0.4700103448275861,87,1.0,51
